model	contrast	estimate	se	z	p	n	note	q_fdr_within_all_contrasts	source_table	term	beta	t_or_z	r2	formula	q_fdr_terms	q_fdr_summary
available_room_normalized_success_clipped	up_minus_down_slope	0.0026570672545166945	0.0012428066220686522	2.137957110410311	0.032520224380854446	649	Clipped available-room sensitivity, limiting extreme fractions to [-1,1].	0.08536558899974292	sensitivity_model_contrasts.tsv							0.07702158405991842
crossfit_success_z			0.1017093586837234		0.0096091500019173	660			crossfit_passive_baseline_results.tsv	is_up_bin:expected_z_crossfit_c	-0.2633851012610291	-2.5895857044979937	0.2359563426638775	success_z_crossfit ~ is_up_bin * expected_z_crossfit_c + temp_z_c + trial_c_c + run_c_c + up_first_c + C(subject)	0.0216205875043141	0.027025734380392404
crossfit_success_raw			0.1143290301692958		0.0893014696626481	660			crossfit_passive_baseline_results.tsv	is_up_bin:expected_raw_crossfit_c	-0.1942557716533081	-1.6990940215766597	0.2592641018568959	success_raw_crossfit ~ is_up_bin * expected_raw_crossfit_c + temp_z_c + trial_c_c + run_c_c + up_first_c + C(subject)	0.1786029393252962	0.18266209703723474
crossfit_observed_raw			0.0933026810610886		0.3840917986471386	660			crossfit_passive_baseline_results.tsv	is_up_bin:expected_raw_crossfit_c	-0.0812089539099252	-0.8703817830996179	0.6729416564139961	rating_raw_y ~ is_up_bin * expected_raw_crossfit_c + temp_z_c + trial_c_c + run_c_c + up_first_c + C(subject)	0.5761376979707079	0.5083567923270952
crossfit_bounded_logit_observed			0.8368232939615792		0.1452188719894324	660			crossfit_passive_baseline_results.tsv	is_up_bin:expected01_crossfit_c	-1.2189409145482268	-1.4566288048432263	0.6237234633403754	rating_logit ~ is_up_bin * expected01_crossfit_c + temp_z_c + trial_c_c + run_c_c + up_first_c + C(subject)	0.2613939695809784	0.24203145331572085
crossfit_fractional_logit_observed			0.5123592286980425		0.0041368060746702	660			crossfit_passive_baseline_results.tsv	is_up_bin:expected01_crossfit_c	-1.469208976103065	-2.867536864391954		rating01 ~ is_up_bin * expected01_crossfit_c + temp_z_c + trial_c_c + run_c_c + up_first_c + C(subject)	0.0106375013348662	0.014319713335396849
crossfit_available_room_normalized			0.0036983193657963		0.8556591254354117	649			crossfit_passive_baseline_results.tsv	is_up_bin:expected_raw_crossfit_c	-0.0006727340901725	-0.1819026491855359	0.0923923742127235	success_fraction_crossfit ~ is_up_bin * expected_raw_crossfit_c + temp_z_c + trial_c_c + run_c_c + up_first_c + C(subject)	0.9059920151669064	0.916777634395084
crossfit_success_z	down_reference_slope	-0.192539537431252	0.1815689114834951	-1.0604212794917491	0.2889529855375405	660			crossfit_passive_baseline_results.tsv	down_reference_slope	-0.192539537431252	-1.0604212794917491			0.4000887492058254	0.41944788223191365
crossfit_success_z	up_slope	-0.4559246386922811	0.1829456633706991	-2.4921314355970825	0.012697903895007	660			crossfit_passive_baseline_results.tsv	up_slope	-0.4559246386922811	-2.4921314355970825			0.025395807790014	0.0317447597375175
crossfit_success_z	up_minus_down_slope	-0.2633851012610291	0.1017093586837234	-2.5895857044979937	0.0096091500019173	660			crossfit_passive_baseline_results.tsv	up_minus_down_slope	-0.2633851012610291	-2.5895857044979937			0.0216205875043139	0.027025734380392404
crossfit_success_raw	down_reference_slope	-0.0504808629950533	0.1145304559461033	-0.440763660443376	0.6593841041178814	660			crossfit_passive_baseline_results.tsv	down_reference_slope	-0.0504808629950533	-0.440763660443376			0.7418071171326166	0.7743284457584441
crossfit_success_raw	up_slope	-0.2447366346483614	0.1604332697795774	-1.5254730828874217	0.1271411423253061	660			crossfit_passive_baseline_results.tsv	up_slope	-0.2447366346483614	-1.5254730828874217			0.2080491419868646	0.22885405618555096
crossfit_success_raw	up_minus_down_slope	-0.1942557716533081	0.1143290301692958	-1.6990940215766597	0.0893014696626481	660			crossfit_passive_baseline_results.tsv	up_minus_down_slope	-0.1942557716533081	-1.6990940215766597			0.1607426453927667	0.18266209703723474
crossfit_observed_raw	down_reference_slope	0.7788236207455803	0.1738246984549248	4.4805118470983	7.446424622914449e-06	660			crossfit_passive_baseline_results.tsv	down_reference_slope	0.7788236207455803	4.4805118470983			4.4678547737486696e-05	6.701782160623004e-05
crossfit_observed_raw	up_slope	0.6976146668356551	0.1897261618814604	3.676955565419175	0.000236034136045	660			crossfit_passive_baseline_results.tsv	up_slope	0.6976146668356551	3.676955565419175			0.000849722889762	0.001198231571798436
crossfit_observed_raw	up_minus_down_slope	-0.0812089539099252	0.0933026810610886	-0.8703817830996179	0.3840917986471386	660			crossfit_passive_baseline_results.tsv	up_minus_down_slope	-0.0812089539099252	-0.8703817830996179			0.493832312546321	0.5083567923270952
crossfit_bounded_logit_observed	down_reference_slope	6.775381837777571	1.496179626461284	4.528454817823237	5.941658249408732e-06	660			crossfit_passive_baseline_results.tsv	down_reference_slope	6.775381837777571	4.528454817823237			4.4678547737486696e-05	6.684365530584824e-05
crossfit_bounded_logit_observed	up_slope	5.556440923229344	1.6963118637997927	3.275601050612674	0.0010543738702892	660			crossfit_passive_baseline_results.tsv	up_slope	5.556440923229344	3.275601050612674			0.0031631216108678	0.0047446824163014005
crossfit_bounded_logit_observed	up_minus_down_slope	-1.2189409145482268	0.8368232939615792	-1.4566288048432263	0.1452188719894325	660			crossfit_passive_baseline_results.tsv	up_minus_down_slope	-1.2189409145482268	-1.4566288048432263			0.2178283079841487	0.24203145331572085
crossfit_fractional_logit_observed	down_reference_slope	5.52252630178958	0.9597729099209024	5.753992683795072	8.715993038421743e-09	660			crossfit_passive_baseline_results.tsv	down_reference_slope	5.52252630178958	5.753992683795072			1.568878746915914e-07	3.9221968672897844e-07
crossfit_fractional_logit_observed	up_slope	4.053317325686515	0.9708633914861844	4.174961545806926	2.980363929605545e-05	660			crossfit_passive_baseline_results.tsv	up_slope	4.053317325686515	4.174961545806926			0.0001341163768322	0.00022352729472041588
crossfit_fractional_logit_observed	up_minus_down_slope	-1.469208976103065	0.5123592286980425	-2.867536864391954	0.0041368060746702	660			crossfit_passive_baseline_results.tsv	up_minus_down_slope	-1.469208976103065	-2.867536864391954			0.0106375013348663	0.014319713335396849
crossfit_available_room_normalized	down_reference_slope	0.0017399923999448	0.0049886386529888	0.3487910271677804	0.7272462001846596	649			crossfit_passive_baseline_results.tsv	down_reference_slope	0.0017399923999448	0.3487910271677804			0.770025388430816	0.8181519752077421
crossfit_available_room_normalized	up_slope	0.0010672583097723	0.0023030004591879	0.4634207976444225	0.6430627740005834	649			crossfit_passive_baseline_results.tsv	up_slope	0.0010672583097723	0.4634207976444225			0.7418071171326166	0.7743284457584441
crossfit_available_room_normalized	up_minus_down_slope	-0.0006727340901725	0.0036983193657963	-0.1819026491855359	0.8556591254354116	649			crossfit_passive_baseline_results.tsv	up_minus_down_slope	-0.0006727340901725	-0.1819026491855359			0.8556591254354116	0.916777634395084
