model	term	beta	se	t_or_z	p	n	r2	note	formula	q_fdr_within_all_terms
observed_rating_raw_model	expected_raw_c	0.8294186471658003	0.17550943453952497	4.725778128918842	2.292358366104372e-06	660	0.6834786697929595	Observed raw regulation rating as outcome. Raw-scale companion to observed-rating model.	rating_raw_y ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	1.3191190991530462e-05
observed_rating_raw_model	is_up_bin:expected_raw_c	-0.09480346470583559	0.08932608776134675	-1.06131889442111	0.2885450018679748	660	0.6834786697929595	Observed raw regulation rating as outcome. Raw-scale companion to observed-rating model.	rating_raw_y ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.4661111568636516
bounded_logit_transformed_observed_rating	is_up_bin	0.981405454923665	0.22309039718285564	4.3991380503897615	1.0868167757280838e-05	660	0.6367044972187996	Bounded-scale sensitivity using logit-transformed raw rating scaled to (0,1). Prefer this if fractional logit is numerically unstable.	rating_logit ~ is_up_bin * expected01_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	4.5646304580579524e-05
bounded_logit_transformed_observed_rating	expected01_c	7.168539466044526	1.5229192978575774	4.707103965475473	2.512607807910564e-06	660	0.6367044972187996	Bounded-scale sensitivity using logit-transformed raw rating scaled to (0,1). Prefer this if fractional logit is numerically unstable.	rating_logit ~ is_up_bin * expected01_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	1.3191190991530462e-05
bounded_logit_transformed_observed_rating	is_up_bin:expected01_c	-1.3179739181790855	0.7996656613299586	-1.648156200664045	0.09932062207336056	660	0.6367044972187996	Bounded-scale sensitivity using logit-transformed raw rating scaled to (0,1). Prefer this if fractional logit is numerically unstable.	rating_logit ~ is_up_bin * expected01_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.2085733063540572
fractional_logit_observed_rating_raw_0_200	is_up_bin	488611095976257.6				660		Bounded-outcome sensitivity using fractional logit on raw rating scaled to (0,1). Check for numerical instability/separation.	rating01 ~ is_up_bin * expected01_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	
fractional_logit_observed_rating_raw_0_200	expected01_c	1405797370909935.0				660		Bounded-outcome sensitivity using fractional logit on raw rating scaled to (0,1). Check for numerical instability/separation.	rating01 ~ is_up_bin * expected01_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	
fractional_logit_observed_rating_raw_0_200	is_up_bin:expected01_c	663136886815298.0				660		Bounded-outcome sensitivity using fractional logit on raw rating scaled to (0,1). Check for numerical instability/separation.	rating01 ~ is_up_bin * expected01_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	
available_room_normalized_success	is_up_bin	0.024788135516739467	0.09471636077458963	0.2617091209377376	0.793545708072033	649	0.0770526407097718	Success divided by available room in the instructed direction. Controls ceiling/floor room.	success_fraction_available ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.9258033260840385
available_room_normalized_success	expected_raw_c	0.003939692140117607	0.005043251567088924	0.7811809678159053	0.43469606585916243	649	0.0770526407097718	Success divided by available room in the instructed direction. Controls ceiling/floor room.	success_fraction_available ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.5705385864401508
available_room_normalized_success	is_up_bin:expected_raw_c	-0.0014154979505788504	0.0033332511529696406	-0.42465985478404866	0.6710846529906516	649	0.0770526407097718	Success divided by available room in the instructed direction. Controls ceiling/floor room.	success_fraction_available ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.8289869242825696
available_room_normalized_success_clipped	is_up_bin	-0.0779106970730167	0.05424274790753315	-1.4363338893860977	0.15090735515449083	649	0.2168486809457062	Clipped available-room sensitivity, limiting extreme fractions to [-1,1].	success_fraction_available_clipped ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.28809585984039154
available_room_normalized_success_clipped	expected_raw_c	-0.0017910663271369087	0.001557277255206724	-1.1501268134165037	0.25009164411918106	649	0.2168486809457062	Clipped available-room sensitivity, limiting extreme fractions to [-1,1].	success_fraction_available_clipped ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.4376603772085669
available_room_normalized_success_clipped	is_up_bin:expected_raw_c	0.0026570672545166945	0.0012428066220686522	2.137957110410311	0.032520224380854355	649	0.2168486809457062	Clipped available-room sensitivity, limiting extreme fractions to [-1,1].	success_fraction_available_clipped ~ is_up_bin * expected_raw_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	0.08536558899974268
